,doty,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,datetime
83,63,10,26,48,34,22,200,66,10.1,1017.2,-13.9,0,2.2,04-03-2013 10:00
84,63,11,15,29,31,23,200,69,11.4,1016.8,-14.4,0,2.9,04-03-2013 11:00
85,63,12,17,28,21,20,200,75,12.5,1015.7,-14.3,0,3.5,04-03-2013 12:00
86,63,13,21,29,13,15,200,84,12.9,1014.5,-14,0,2.6,04-03-2013 13:00
87,63,14,16,21,13,14,100,88,13.7,1013.5,-14.3,0,1.9,04-03-2013 14:00
88,63,15,15,19,15,16,100,90,13.9,1012.9,-14.1,0,1.6,04-03-2013 15:00
89,63,16,16,24,14,14,100,91,13.3,1012.3,-14.6,0,1.5,04-03-2013 16:00
90,63,17,20,27,23,26,200,81,11.2,1012.5,-13.8,0,2,04-03-2013 17:00
91,63,18,27,36,24,34,300,72,7.8,1013.2,-11.6,0,1.1,04-03-2013 18:00
92,63,19,32.34,53,23,79,700,18,5.6,1013.5,-12,0,1.6,04-03-2013 19:00
93,63,20,54.91,92,30,90,1000,8,3.5,1013.7,-11.7,0,1.6,04-03-2013 20:00
94,63,21,68.74,100,24,54,1000,25,2.3,1013.7,-10.3,0,1,04-03-2013 21:00
95,63,22,54.15,85,22,54,900,21,2.1,1013.6,-10.8,0,2.2,04-03-2013 22:00
96,63,23,50.6,74,18,47,900,91,1.4,1013.1,-10.8,0,0.8,04-03-2013 23:00
97,64,0,52.2,70,16,39,700,91,1.2,1012.5,-10.6,0,1.3,05-03-2013 00:00
98,64,1,36.59,57,16,31,600,91,0.8,1012,-10.7,0,1.3,05-03-2013 01:00
99,64,2,35.92,51,14.93,27,600,91,0.3,1011.6,-10.3,0,2.3,05-03-2013 02:00
100,64,3,37.88,51,13,28,713,91,-0.1,1011.1,-10.4,0,1.6,05-03-2013 03:00
101,64,4,39.251,51,14,28.04,800,91,-0.9,1010.9,-9.8,0,2,05-03-2013 04:00
102,64,5,41.561,53,13,28,800,91,-0.9,1010.6,-9.8,0,1.4,05-03-2013 05:00
103,64,6,42.21,58,15,28,800,91,-1.5,1010.7,-9.4,0,1.8,05-03-2013 06:00
104,64,7,47.34,58,14,36,900,91,0.4,1010.5,-8.8,0,0.4,05-03-2013 07:00
105,64,8,50.35,62,20,44,1000,91,5,1010.4,-8.5,0,0.6,05-03-2013 08:00
106,64,9,56.33,69,39,39,1200,91,7.8,1009.9,-9.2,0,1.1,05-03-2013 09:00
107,64,10,79.08,98,84,62,1600,91,8.8,1009,-8.7,0,1.6,05-03-2013 10:00
108,64,11,103.05,122,101,75,1700,91,9.9,1007.8,-8.7,0,1.5,05-03-2013 11:00
109,64,12,110.31,135,105,77,1600,42,12,1006.5,-8.5,0,2.1,05-03-2013 12:00
110,64,13,118.77,142,90,80,1500,91,13.1,1005.2,-9.4,0,1.2,05-03-2013 13:00
111,64,14,121.93,146,84,83,1464.85,91,14.3,1004.5,-8.4,0,1.7,05-03-2013 14:00
112,64,15,105.17,136,75,75,1100,91,14.1,1004.2,-7.9,0,2.2,05-03-2013 15:00
113,64,16,103.71,136,77,82,1100,88,13,1004.2,-8.3,0,1.1,05-03-2013 16:00
114,64,17,3,158,80,79,1200,88,11.5,1004.6,-7.9,0,0.2,05-03-2013 17:00
115,64,18,3,184,82,83,1600,88,7.9,1005.1,-7.4,0,1.6,05-03-2013 18:00
116,64,19,3,233,61,150,2299,88,6.2,1005.5,-7.4,0,2.2,05-03-2013 19:00
117,64,20,189,243,54,124,2500,88,5,1005.9,-6.9,0,0.6,05-03-2013 20:00
118,64,21,200,233,54,123,2200,88,3.4,1006,-7.1,0,0.6,05-03-2013 21:00
119,64,22,182,203,47,92,1899,88,3.1,1005.7,-6.6,0,0.8,05-03-2013 22:00
120,64,23,163,163,42,90,1899,88,2,1005.7,-6.8,0,0.6,05-03-2013 23:00
121,65,0,156,159,38,67,1700,88,1.1,1005.5,-6.5,0,0.5,06-03-2013 00:00
122,65,1,142,142,34,58,1500,88,0.6,1005.5,-6.5,0,1.9,06-03-2013 01:00
123,65,2,154,132,29,63,1700,88,0.2,1004.7,-6.2,0,1,06-03-2013 02:00
124,65,3,134,136,25,51,1600,88,0,1004.7,-6.2,0,0.7,06-03-2013 03:00
125,65,4,154,128,21,51,1600,88,0,1004.7,-6.2,0,0.9,06-03-2013 04:00
126,65,5,135,138,21,57,1600,88,0.4,1005.3,-6.3,0,1.6,06-03-2013 05:00
127,65,6,132,143,31,76,1800,88,0.7,1005.6,-6,0,1.7,06-03-2013 06:00
128,65,7,130,143,31,79,1800,88,1.6,1006.3,-5.3,0,1.2,06-03-2013 07:00
129,65,8,134,150,51,84,1899,88,3.3,1006.3,-4,0,0.4,06-03-2013 08:00
130,65,9,142,160,70,91,2100,88,5.5,1006.1,-4.7,0,1,06-03-2013 09:00
131,65,10,175,182,83,91,2100,88,7.9,1005.9,-5.2,0,0.4,06-03-2013 10:00
132,65,11,188,192,103,91,1800,88,8.8,1005,-5.8,0,0.9,06-03-2013 11:00
133,65,12,175,185,113,91,1700,88,9.7,1003.8,-6.2,0,1.8,06-03-2013 12:00
134,65,13,170,178,89,80,1600,88,11.2,1002.7,-6.2,0,1.7,06-03-2013 13:00
135,65,14,121,159,96,71,1399,88,12.8,1002.2,-6.3,0,3,06-03-2013 14:00
136,65,15,140,141,112,66,1399,84,13.5,1002.3,-6.2,0,1.9,06-03-2013 15:00
137,65,16,150,156,127,62,1399,70,13.6,1002.2,-6.1,0,0.7,06-03-2013 16:00
138,65,17,149,170,118,83,1500,65,11.2,1002.8,-5.8,0,0.5,06-03-2013 17:00
139,65,18,177,252,90,96,1700,65,7.8,1003.6,-4.7,0,1.2,06-03-2013 18:00
140,65,19,173,316,61,117,2200,65,7.1,1004.2,-5.3,0,1.5,06-03-2013 19:00
141,65,20,192,340,67,144,4299,65,5.2,1004.7,-4.9,0,0.9,06-03-2013 20:00
142,65,21,267,354,66,150,4400,65,3.9,1004.5,-4.8,0,0.5,06-03-2013 21:00
143,65,22,288,354,54,132,3500,65,2.3,1004.6,-4.5,0,1.5,06-03-2013 22:00
144,65,23,245,279,49,127,4000,65,2.8,1004.2,-4.4,0,2.3,06-03-2013 23:00
145,66,0,240,276,44,116,3500,65,1.8,1004.1,-4.5,0,1.2,07-03-2013 00:00
146,66,1,231,239,33,101,2600,65,0.6,1004.6,-4.6,0,1.7,07-03-2013 01:00
147,66,2,174,197,32,104,3200,65,0.7,1003.8,-4.2,0,1.3,07-03-2013 02:00
148,66,3,203,205,34,101,2399,65,-0.2,1003.6,-4.3,0,0.8,07-03-2013 03:00
149,66,4,142,173,32,98,2399,65,-0.8,1003.6,-4.7,0,0.5,07-03-2013 04:00
150,66,5,165,184,20,88,2299,65,-1.6,1003.8,-4.8,0,1.1,07-03-2013 05:00
151,66,6,151,161,16,85,2399,65,-1.6,1003.5,-4.9,0,0.7,07-03-2013 06:00
152,66,7,142,165,23,84,2100,65,1.9,1003.8,-3.8,0,0.8,07-03-2013 07:00
153,66,8,126,135,38,85,2200,65,5.9,1003.6,-3.2,0,0.9,07-03-2013 08:00
154,66,9,128,139,89,100,1899,65,8.6,1003.2,-3.6,0,1.1,07-03-2013 09:00
155,66,10,144,171,126,78,1200,65,11.1,1002.4,-3.8,0,1.3,07-03-2013 10:00
156,66,11,116,138,128,87,1399,65,13.7,1000.8,-3.6,0,1.4,07-03-2013 11:00
157,66,12,122,169,144,113,1800,65,15.9,998.5,-5.2,0,1.9,07-03-2013 12:00
158,66,13,181,222,104,95,1600,65,17.6,996.9,-5,0,1.3,07-03-2013 13:00
159,66,14,135,166,83,87,1300,68,16.6,995.8,-4.6,0,2.1,07-03-2013 14:00
160,66,15,144,181,81,118,1800,68,16.5,995,-3.6,0,0.7,07-03-2013 15:00
161,66,16,190,336,100,163,2600,68,15.6,994.4,-3.4,0,1.1,07-03-2013 16:00
162,66,17,290,553,75,177,2700,68,13.1,994.1,-3.7,0,2.7,07-03-2013 17:00
163,66,18,350,444.66,67,199,3000,68,11,994.8,-3.5,0,1,07-03-2013 18:00
164,66,19,363,429.07,57,198,3500,4,8.8,994.7,-3.4,0,2,07-03-2013 19:00
165,66,20,354,545,55,205,4400,68,8.6,994.7,-3.6,0,2.3,07-03-2013 20:00
166,66,21,371,418,56,169,3500,68,7.3,995.3,-3,0,1.6,07-03-2013 21:00
167,66,22,264,318,52,124,2399,68,5.9,995.2,-3.5,0,1.6,07-03-2013 22:00
168,66,23,228,229,47,145,3000,68,6.1,995.4,-3.3,0,0.9,07-03-2013 23:00
169,67,0,223,252,40,113,2700,68,5.3,995.1,-3.3,0,2.4,08-03-2013 00:00
170,67,1,221,230,43,118,2700,68,4.7,995.2,-3.1,0,1.2,08-03-2013 01:00
171,67,2,208,234,32,78,2100,68,2.6,995.1,-3.3,0,1.8,08-03-2013 02:00
172,67,3,195,206,28,84,2399,68,2,995,-3.5,0,1.3,08-03-2013 03:00
173,67,4,173,193,24,66,1899,68,1.9,995.4,-3.8,0,1.2,08-03-2013 04:00
174,67,5,174,180,24,78,2000,68,1.2,996.4,-4.1,0,1.4,08-03-2013 05:00
175,67,6,211,235,34,92,2100,68,1.2,996.9,-4.3,0,0.4,08-03-2013 06:00
176,67,7,197,213,44,99,2399,68,3.9,997.5,-3.4,0,2.9,08-03-2013 07:00
177,67,8,227,232,61,102,2799,68,10.3,997.9,-3.4,0,0.7,08-03-2013 08:00
178,67,9,240,246,112,98,2200,68,14.6,997.8,-4.7,0,1.3,08-03-2013 09:00
179,67,10,173,193,105.3864,79.4511,1845.96,68,17.8,997.6,-3.6,0,2.8,08-03-2013 10:00
180,67,11,112,122,66,58,1000,68,19.4,997,-3.5,0,2.2,08-03-2013 11:00
181,67,12,114,148,57,61,1000,76,20.3,996.5,-3.4,0,2.4,08-03-2013 12:00
182,67,13,139,173,48,66,1200,97,16.5,996.2,1.7,0,5.2,08-03-2013 13:00
183,67,14,534,835,114,184,7299,107,14.8,996.5,-0.1,0,3.9,08-03-2013 14:00
184,67,15,510,624,159,158,8000,107,13.8,996.8,-0.7,0,3.9,08-03-2013 15:00
185,67,16,212,246,112,90,2299,107,12.3,997,-0.9,0,2.9,08-03-2013 16:00
186,67,17,165,202,74,74,1399,107,11,997.1,-1.8,0,4.6,08-03-2013 17:00
187,67,18,136,145,52,66,1100,107,9.4,997.5,-1.7,0,1.3,08-03-2013 18:00
188,67,19,112,135,40,71,1000,107,7.8,997.3,-2,0,2.4,08-03-2013 19:00
189,67,20,110,129,36,74,1200,107,6.4,997.4,-2.5,0,1.5,08-03-2013 20:00
190,67,21,99,139,33,82,1399,107,5.2,997,-2.6,0,1.8,08-03-2013 21:00
191,67,22,94,135,38,75,1399,107,4.7,996,-3.6,0,3,08-03-2013 22:00
192,67,23,98,127,29,65,1399,107,4.5,994.2,-4.5,0,3.1,08-03-2013 23:00
193,68,0,88,97,29,55,1300,107,4.7,992.6,-4.6,0,3.1,09-03-2013 00:00
194,68,1,78,79,24,42,1200,107,3.6,991.5,-4.1,0,1.2,09-03-2013 01:00
195,68,2,51,72,23.43,31,1000,107,2.6,990.7,-4,0,1.9,09-03-2013 02:00
196,68,3,78,81,25,31,1082,107,2.5,989.6,-4.1,0,1.9,09-03-2013 03:00
197,68,4,77,80,23,32.76,1000,107,1.6,988.5,-4.3,0,1.4,09-03-2013 04:00
198,68,5,80,84,22,27,1100,107,0.4,989.1,-4.3,0,0.8,09-03-2013 05:00
199,68,6,96,122,24,71,1700,107,0.3,989.3,-4,0,1.5,09-03-2013 06:00
200,68,7,116,151,39,92,2100,107,2.2,990.3,-3.1,0,1.2,09-03-2013 07:00
201,68,8,118,163,50,87,2200,107,7.1,991.6,-3.8,0,3.3,09-03-2013 08:00
202,68,9,125,182,78,81,2000,107,15.7,993,-2.8,0,4.2,09-03-2013 09:00
203,68,10,126,213,133,64,1500,107,16.6,996,-9.4,0,7.8,09-03-2013 10:00
204,68,11,50,349,51,26,400,107,13.4,998.8,-12,0,9.6,09-03-2013 11:00
205,68,12,18,308,10,12,200,107,10.1,1001.2,-17.2,0,12.9,09-03-2013 12:00
206,68,13,21,251,6,9,100,107,9.1,1003.5,-19.9,0,10.1,09-03-2013 13:00
207,68,14,27,490,4,7,200,99,9,1005,-20,0,6.1,09-03-2013 14:00
208,68,15,12,208,5,7,200,99,9.6,1006.5,-19.5,0,9,09-03-2013 15:00
209,68,16,10,105,6,7,200,99,9.7,1007.4,-20.5,0,2.8,09-03-2013 16:00
210,68,17,12,81,12,8,200,95,8.3,1009.7,-19.5,0,3.5,09-03-2013 17:00
211,68,18,7,42,8,9,200,95,6.9,1012.4,-18.8,0,2.4,09-03-2013 18:00
212,68,19,6,44,9,13,300,95,6,1014.5,-19.6,0,4.5,09-03-2013 19:00
213,68,20,12,51,20,21,300,95,4.2,1016.4,-18.1,0,2.6,09-03-2013 20:00
214,68,21,16,67,47,28,400,95,3.1,1017.8,-17.7,0,0.7,09-03-2013 21:00
215,68,22,11,67,29,21,300,95,2,1017.8,-17.5,0,1.8,09-03-2013 22:00
216,68,23,16,39,26,20,400,95,0,1018,-16.8,0,1,09-03-2013 23:00
217,69,0,11,33,17,18,300,95,-0.9,1018,-15.9,0,1.5,10-03-2013 00:00
218,69,1,22,42,27,24,600,95,-1,1017.8,-15.6,0,1.4,10-03-2013 01:00
219,69,2,30,39,28,33,800,95,-2.5,1017.9,-14.6,0,0.6,10-03-2013 02:00
220,69,3,24,34,24,28,500,95,-3.7,1018.2,-13.9,0,1.5,10-03-2013 03:00
221,69,4,16,24,19,24,600,95,-3.8,1018.8,-14,0,0.9,10-03-2013 04:00
222,69,5,12,31,16,24,500,95,-4.5,1018.8,-13.4,0,0.5,10-03-2013 05:00
223,69,6,24,47,13,36,800,95,-4.8,1019.2,-12.5,0,0.7,10-03-2013 06:00
224,69,7,22,36,15,52,1200,95,-0.6,1020,-12.6,0,1,10-03-2013 07:00
225,69,8,30,52,45,57,800,95,3,1020.2,-13.8,0,1.8,10-03-2013 08:00
226,69,9,57,84,86,63,900,95,4.9,1019.9,-13,0,1.7,10-03-2013 09:00
227,69,10,71,94,79,59,1000,95,8.2,1019.1,-13.5,0,1.5,10-03-2013 10:00
228,69,11,66,105,53,61,900,95,10.1,1018.3,-17.2,0,2.6,10-03-2013 11:00
229,69,12,49,58,34,52,700,95,11.2,1017.4,-16.3,0,2.9,10-03-2013 12:00
230,69,13,27,44,26,38,600,95,11.7,1016.3,-15.9,0,2.1,10-03-2013 13:00
231,69,14,33,44,24,32,600,92,12.6,1015.3,-17.2,0,3.8,10-03-2013 14:00
232,69,15,40,42,24,30,500,92,12.2,1014.9,-16.4,0,2.9,10-03-2013 15:00
233,69,16,34,51,21,32,500,91,10.8,1014.8,-15.7,0,4.1,10-03-2013 16:00
234,69,17,34,88,26,40,500,89,8.9,1014.9,-14.9,0,2.2,10-03-2013 17:00
235,69,18,45,112,25,44,400,84,7.7,1015.5,-13.9,0,1.8,10-03-2013 18:00
236,69,19,49,102,38,52,600,79,4.9,1016,-12.6,0,1,10-03-2013 19:00
237,69,20,73,118,42,71,900,79,2.5,1016.2,-12.2,0,1.5,10-03-2013 20:00
238,69,21,101,142,39,104,1500,79,1.6,1016.3,-12.2,0,1.3,10-03-2013 21:00
239,69,22,88,122,27,76,1300,79,0.7,1016,-11.4,0,1.2,10-03-2013 22:00
240,69,23,89,110,26,68,1300,79,0.4,1016,-10.7,0,1.3,10-03-2013 23:00
241,70,0,95,111,22,59,1300,79,-0.4,1015.5,-10.1,0,1.5,11-03-2013 00:00
242,70,1,78,85,18,42,1000,79,-0.5,1015.3,-10.4,0,1.1,11-03-2013 01:00
243,70,2,69,77,17,35,800,79,-1.1,1014.6,-10.2,0,1.4,11-03-2013 02:00
244,70,3,70,72,15,33,800,79,-1.6,1014.2,-9.9,0,1.6,11-03-2013 03:00
245,70,4,66,72,14,31,700,79,-2,1014,-10.1,0,2,11-03-2013 04:00
246,70,5,70,75,11,32,800,79,-2,1014,-10.1,0,2,11-03-2013 05:00
247,70,6,73,82,10,36,800,79,-2.6,1014.1,-9.5,0,1.5,11-03-2013 06:00
248,70,7,73,83,11,42,800,79,-0.9,1014.6,-8.1,0,1,11-03-2013 07:00
249,70,8,94,106,16,50,1100,79,3.9,1014.3,-9.5,0,1,11-03-2013 08:00
250,70,9,99,140,30,50,1100,79,5.9,1013.8,-9.6,0,1.8,11-03-2013 09:00
251,70,10,118,136,91,68,1399,79,6.9,1013.2,-9.5,0,2.4,11-03-2013 10:00
252,70,11,119,135,113,66,1300,79,8.4,1012,-9.6,0,2.4,11-03-2013 11:00
253,70,12,128,133,122,67,1200,79,9.1,1010.6,-9.4,0,1.4,11-03-2013 12:00
254,70,13,123,131,144,72,1200,79,10,1009.4,-9.2,0,1.6,11-03-2013 13:00
255,70,14,130,141,160,82,1300,79,10.6,1008.2,-9.2,0,1.6,11-03-2013 14:00
256,70,15,139,157,159,94,1300,79,10.2,1007.2,-9,0,1.3,11-03-2013 15:00
257,70,16,139,164,150,92,1300,77,9.9,1006.3,-8.7,0,1.7,11-03-2013 16:00
258,70,17,139,174,139,98,1300,71,8.7,1006.8,-8.4,0,0.8,11-03-2013 17:00
259,70,18,140,211,109,109,1300,56,7.8,1007,-7.5,0,1,11-03-2013 18:00
260,70,19,153,218,95,119,1500,47,7.2,1007.5,-6.5,0,1.3,11-03-2013 19:00
261,70,20,165,199,82,116,1899,47,7,1007.4,-6.7,0,1,11-03-2013 20:00
262,70,21,208,246,80,118,2799,47,7.5,1007.1,-5.3,0,0.5,11-03-2013 21:00
263,70,22,199,238,77,119,2299,47,7.5,1006.7,-4.6,0,0.7,11-03-2013 22:00
264,70,23,182,219,67,107,1800,47,7.6,1005.7,-4.2,0,0.9,11-03-2013 23:00
265,71,0,169,204,54,100,1800,47,6.1,1004.8,-3.6,0,1.6,12-03-2013 00:00
266,71,1,161,182,51,96,1800,47,5.8,1004.2,-4.1,0,1.7,12-03-2013 01:00
267,71,2,151,171,45,90,1700,47,5.8,1003.2,-4.1,0,1.1,12-03-2013 02:00
268,71,3,136,150,49,90,1500,47,5.7,1003.1,-3.7,0,1.1,12-03-2013 03:00
269,71,4,131,149,53,91,1399,47,5.1,1003.3,-1.8,0,1.8,12-03-2013 04:00
270,71,5,127,144,40,90,1399,47,4.6,1003.4,-0.6,0,2.3,12-03-2013 05:00
271,71,6,116,135,56,103,1300,47,3.4,1003.4,2.8,0,1.8,12-03-2013 06:00
272,71,7,99,109,22,99,1200,47,2.4,1003.8,2.4,0.8,1,12-03-2013 07:00
273,71,8,80,83,14,96,1200,47,2.3,1004,2.3,0.3,0.1,12-03-2013 08:00
274,71,9,82,87,9,94,1300,47,2.6,1003.5,2.6,0.3,1.6,12-03-2013 09:00
275,71,10,110,87,11,99,1300,47,2.8,1004,2.8,0,1.4,12-03-2013 10:00
276,71,11,109,87,13,98,1399,47,3.8,1003.7,2.8,0,0.8,12-03-2013 11:00
277,71,12,118,79,16,85,1200,47,4.5,1003.3,3,0,0,12-03-2013 12:00
278,71,13,112,71,21,78,1100,47,5.9,1003.8,2.5,0,0.6,12-03-2013 13:00
279,71,14,117,78,17,72,1100,47,6.3,1004.3,2.9,0,0.7,12-03-2013 14:00
280,71,15,110,65,19,67,1000,47,7,1004,3.1,0,1,12-03-2013 15:00
281,71,16,112,73,22,68,1000,39,7.1,1004.9,3.3,0,1.1,12-03-2013 16:00
282,71,17,101,120,40,99,1300,22,6.7,1006.5,3.1,0,0.6,12-03-2013 17:00
